,KEY,IS_BOX_INTERSECTING,IS_TIME_INTERSECTING,BEGIN_LAT,BEGIN_LON,END_LAT,END_LON,STATIONID,BEGIN_TIME_UTC,END_TIME_UTC,bucket_begin_time,bucket_end_time
34,2017/04/06/KLWX/KLWX20170406_053252_V06,1.0,0.0,39.66,-75.08,39.66,-75.08,KLWX,2017-04-06 19:08:00,2017-04-06 19:10:00,2017-04-06 05:32:52,2017-04-06 05:38:02
35,2017/04/06/KLWX/KLWX20170406_053801_V06,1.0,0.0,39.66,-75.08,39.66,-75.08,KLWX,2017-04-06 19:08:00,2017-04-06 19:10:00,2017-04-06 05:38:01,2017-04-06 05:43:11
36,2017/04/06/KLWX/KLWX20170406_054310_V06,1.0,0.0,39.66,-75.08,39.66,-75.08,KLWX,2017-04-06 19:08:00,2017-04-06 19:10:00,2017-04-06 05:43:10,2017-04-06 05:48:20
37,2017/04/06/KLWX/KLWX20170406_054820_V06,1.0,0.0,39.66,-75.08,39.66,-75.08,KLWX,2017-04-06 19:08:00,2017-04-06 19:10:00,2017-04-06 05:48:20,2017-04-06 05:53:30
38,2017/04/06/KLWX/KLWX20170406_055328_V06,1.0,0.0,39.66,-75.08,39.66,-75.08,KLWX,2017-04-06 19:08:00,2017-04-06 19:10:00,2017-04-06 05:53:28,2017-04-06 05:58:38
39,2017/04/06/KLWX/KLWX20170406_055837_V06,1.0,0.0,39.66,-75.08,39.66,-75.08,KLWX,2017-04-06 19:08:00,2017-04-06 19:10:00,2017-04-06 05:58:37,2017-04-06 06:03:47
40,2017/04/06/KLWX/KLWX20170406_060346_V06,1.0,0.0,39.66,-75.08,39.66,-75.08,KLWX,2017-04-06 19:08:00,2017-04-06 19:10:00,2017-04-06 06:03:46,2017-04-06 06:08:56
41,2017/04/06/KLWX/KLWX20170406_061058_V06,1.0,0.0,39.66,-75.08,39.66,-75.08,KLWX,2017-04-06 19:08:00,2017-04-06 19:10:00,2017-04-06 06:10:58,2017-04-06 06:16:08
42,2017/04/06/KLWX/KLWX20170406_061607_V06,1.0,0.0,39.66,-75.08,39.66,-75.08,KLWX,2017-04-06 19:08:00,2017-04-06 19:10:00,2017-04-06 06:16:07,2017-04-06 06:21:17
43,2017/04/06/KLWX/KLWX20170406_062115_V06,1.0,0.0,39.66,-75.08,39.66,-75.08,KLWX,2017-04-06 19:08:00,2017-04-06 19:10:00,2017-04-06 06:21:15,2017-04-06 06:26:25
44,2017/04/06/KLWX/KLWX20170406_062624_V06,1.0,0.0,39.66,-75.08,39.66,-75.08,KLWX,2017-04-06 19:08:00,2017-04-06 19:10:00,2017-04-06 06:26:24,2017-04-06 06:31:34
45,2017/04/06/KLWX/KLWX20170406_063133_V06,1.0,0.0,39.66,-75.08,39.66,-75.08,KLWX,2017-04-06 19:08:00,2017-04-06 19:10:00,2017-04-06 06:31:33,2017-04-06 06:36:43
46,2017/04/06/KLWX/KLWX20170406_063641_V06,1.0,0.0,39.66,-75.08,39.66,-75.08,KLWX,2017-04-06 19:08:00,2017-04-06 19:10:00,2017-04-06 06:36:41,2017-04-06 06:41:51
47,2017/04/06/KLWX/KLWX20170406_064150_V06,1.0,0.0,39.66,-75.08,39.66,-75.08,KLWX,2017-04-06 19:08:00,2017-04-06 19:10:00,2017-04-06 06:41:50,2017-04-06 06:47:00
48,2017/04/06/KLWX/KLWX20170406_064659_V06,1.0,0.0,39.66,-75.08,39.66,-75.08,KLWX,2017-04-06 19:08:00,2017-04-06 19:10:00,2017-04-06 06:46:59,2017-04-06 06:52:09
49,2017/04/06/KLWX/KLWX20170406_065208_V06,1.0,0.0,39.66,-75.08,39.66,-75.08,KLWX,2017-04-06 19:08:00,2017-04-06 19:10:00,2017-04-06 06:52:08,2017-04-06 06:57:18
50,2017/04/06/KLWX/KLWX20170406_065717_V06,1.0,0.0,39.66,-75.08,39.66,-75.08,KLWX,2017-04-06 19:08:00,2017-04-06 19:10:00,2017-04-06 06:57:17,2017-04-06 07:02:27
51,2017/04/06/KLWX/KLWX20170406_070225_V06,1.0,0.0,39.66,-75.08,39.66,-75.08,KLWX,2017-04-06 19:08:00,2017-04-06 19:10:00,2017-04-06 07:02:25,2017-04-06 07:07:35
52,2017/04/06/KLWX/KLWX20170406_070734_V06,1.0,0.0,39.66,-75.08,39.66,-75.08,KLWX,2017-04-06 19:08:00,2017-04-06 19:10:00,2017-04-06 07:07:34,2017-04-06 07:12:44
53,2017/04/06/KLWX/KLWX20170406_071242_V06,1.0,0.0,39.66,-75.08,39.66,-75.08,KLWX,2017-04-06 19:08:00,2017-04-06 19:10:00,2017-04-06 07:12:42,2017-04-06 07:17:52
