,KEY,FOREIGN_KEY,SIZE,IS_TIME_INTERSECTING,BEGIN_TIME_UTC,END_TIME_UTC,bucket_begin_time,bucket_end_time
,KEY,FOREIGN_KEY,SIZE,IS_TIME_INTERSECTING,BEGIN_TIME_UTC,END_TIME_UTC,bucket_begin_time,bucket_end_time
37,ABI-L1b-RadC/2017/205/00/OR_ABI-L1b-RadC-M3C04_G16_s20172050047187_e20172050049559_c20172050050000.nc,0,2.376402,True,2017-07-24 00:14:00,2017-07-24 01:16:00,2017-07-24 00:47:18,2017-07-24 00:49:55
38,ABI-L1b-RadC/2017/205/00/OR_ABI-L1b-RadC-M3C04_G16_s20172050052187_e20172050054559_c20172050055000.nc,0,2.328388,True,2017-07-24 00:14:00,2017-07-24 01:16:00,2017-07-24 00:52:18,2017-07-24 00:54:55
39,ABI-L1b-RadC/2017/205/00/OR_ABI-L1b-RadC-M3C04_G16_s20172050057187_e20172050059559_c20172050100002.nc,0,2.282305,True,2017-07-24 00:14:00,2017-07-24 01:16:00,2017-07-24 00:57:18,2017-07-24 00:59:55
40,ABI-L1b-RadC/2017/205/00/OR_ABI-L1b-RadC-M3C05_G16_s20172050012187_e20172050014559_c20172050015007.nc,0,11.08633,True,2017-07-24 00:14:00,2017-07-24 01:16:00,2017-07-24 00:12:18,2017-07-24 00:14:55
41,ABI-L1b-RadC/2017/205/00/OR_ABI-L1b-RadC-M3C05_G16_s20172050017187_e20172050019559_c20172050020010.nc,0,10.873,True,2017-07-24 00:14:00,2017-07-24 01:16:00,2017-07-24 00:17:18,2017-07-24 00:19:55
42,ABI-L1b-RadC/2017/205/00/OR_ABI-L1b-RadC-M3C05_G16_s20172050022187_e20172050024559_c20172050025011.nc,0,10.665878999999999,True,2017-07-24 00:14:00,2017-07-24 01:16:00,2017-07-24 00:22:18,2017-07-24 00:24:55
43,ABI-L1b-RadC/2017/205/00/OR_ABI-L1b-RadC-M3C05_G16_s20172050027187_e20172050029559_c20172050030006.nc,0,10.444433,True,2017-07-24 00:14:00,2017-07-24 01:16:00,2017-07-24 00:27:18,2017-07-24 00:29:55
44,ABI-L1b-RadC/2017/205/00/OR_ABI-L1b-RadC-M3C05_G16_s20172050032187_e20172050034560_c20172050035007.nc,0,10.207357,True,2017-07-24 00:14:00,2017-07-24 01:16:00,2017-07-24 00:32:18,2017-07-24 00:34:56
45,ABI-L1b-RadC/2017/205/00/OR_ABI-L1b-RadC-M3C05_G16_s20172050037187_e20172050039559_c20172050040007.nc,0,9.96865,True,2017-07-24 00:14:00,2017-07-24 01:16:00,2017-07-24 00:37:18,2017-07-24 00:39:55
46,ABI-L1b-RadC/2017/205/00/OR_ABI-L1b-RadC-M3C05_G16_s20172050042187_e20172050044559_c20172050045005.nc,0,9.748631,True,2017-07-24 00:14:00,2017-07-24 01:16:00,2017-07-24 00:42:18,2017-07-24 00:44:55
47,ABI-L1b-RadC/2017/205/00/OR_ABI-L1b-RadC-M3C05_G16_s20172050047187_e20172050049559_c20172050050011.nc,0,9.525562,True,2017-07-24 00:14:00,2017-07-24 01:16:00,2017-07-24 00:47:18,2017-07-24 00:49:55
